mentee_id,found,ideal_rank,top_k
mentee_ff57b42f,False,not_found,mentor_b671d7f6|mentor_deb7b68e|mentor_75b6e3e8|mentor_913da29f|mentor_148fff02
mentee_2ace9e4e,True,5,mentor_a669ea81|mentor_6c56c753|mentor_04d4bf40|mentor_56105218|ideal_1
mentee_a438e53d,True,3,mentor_6243d498|mentor_fd488a4d|ideal_2|mentor_be5468c1|mentor_07d81076
mentee_d2db6d0c,True,4,mentor_cc33e267|mentor_b50ca85b|mentor_a49c021b|ideal_3|mentor_d8d7ae08
mentee_d8c08236,False,not_found,mentor_deb7b68e|mentor_b671d7f6|mentor_320dae5f|mentor_75b6e3e8|mentor_28065e54
mentee_41c4bd86,True,5,mentor_d88f2e6c|mentor_9fb7dbf4|mentor_11dbda52|mentor_985d2e99|ideal_5
mentee_12f995cd,True,3,mentor_a49c021b|mentor_6ea7b2e6|ideal_6|mentor_5a31b4e1|mentor_d8d7ae08
mentee_d64f6a28,True,2,mentor_deb7b68e|ideal_7|mentor_f122f58d|mentor_fa1703d1|mentor_7ff6c2fb
mentee_4eb327a1,False,not_found,mentor_457278e0|mentor_d9156405|mentor_f1d748a6|mentor_959d1866|mentor_4c444d29
mentee_76ef4fb7,True,3,mentor_b0647514|mentor_d88f2e6c|ideal_9|mentor_11dbda52|mentor_7dbced22
mentee_e9191533,True,2,mentor_39e6e908|ideal_10|mentor_c4a75679|mentor_113c1958|mentor_cf33f669
mentee_08f890d4,True,5,mentor_c651bc16|mentor_45a7f003|mentor_56105218|mentor_fcda6bbf|ideal_11
mentee_4b75a444,True,5,mentor_e3aafe82|mentor_6243d498|mentor_dceb1a85|mentor_9d85cb50|ideal_12
mentee_99ebc1aa,True,1,ideal_13|mentor_9d4493bd|mentor_f061e9b1|mentor_e7b42494|mentor_bb039843
mentee_3161a552,True,5,mentor_28065e54|mentor_deb7b68e|mentor_320dae5f|mentor_75b6e3e8|ideal_14
mentee_fb8e62e8,True,1,ideal_15|mentor_99547005|mentor_7863f0b7|mentor_6aea9f28|mentor_d2d40667
mentee_5640a274,True,2,mentor_72037369|ideal_16|mentor_5da17fb2|mentor_8b21cccc|mentor_f73df581
mentee_46bbe27e,True,3,mentor_cc33e267|mentor_b50ca85b|ideal_17|mentor_d8d7ae08|mentor_288413bd
mentee_a00fea41,True,1,ideal_18|mentor_9c789c28|mentor_d2d40667|mentor_6aea9f28|mentor_99547005
mentee_003c2ffe,True,2,mentor_fec1a45e|ideal_19|mentor_ac4fc9b2|mentor_332aa4b0|mentor_af5ceb16
mentee_c75725cc,True,2,mentor_6a8c644c|ideal_20|mentor_de62faa5|mentor_f061e9b1|mentor_e7b42494
mentee_7e60cb50,True,1,ideal_21|mentor_afdd32d9|mentor_a1c6e70c|mentor_323bccce|mentor_e90188c7
mentee_938e06ec,True,1,ideal_22|mentor_bea545d3|mentor_45a7f003|mentor_c651bc16|mentor_8f2d3563
mentee_b53f3f61,True,3,mentor_b50ca85b|mentor_6ea7b2e6|ideal_23|mentor_a49c021b|mentor_d8d7ae08
mentee_c1a218fe,True,5,mentor_ea3ee7bd|mentor_d293ef1f|mentor_1e846c00|mentor_bc98518f|ideal_24
mentee_62641291,False,not_found,mentor_d88f2e6c|mentor_9fb7dbf4|mentor_985d2e99|mentor_11dbda52|mentor_ac2f9424
mentee_375c8910,True,1,ideal_26|mentor_45a7f003|mentor_f5e0f8ab|mentor_bea545d3|mentor_56105218
mentee_090d5264,True,2,mentor_72037369|ideal_27|mentor_f96942c9|mentor_5da17fb2|mentor_5cb4cc3c
mentee_d75ed873,True,4,mentor_deb7b68e|mentor_f122f58d|mentor_fa1703d1|ideal_28|mentor_8c86abc6
mentee_20ba3dfa,False,not_found,mentor_5e9ee3e2|mentor_457278e0|mentor_7756dcad|mentor_d9156405|mentor_4c444d29
mentee_24670a02,True,2,mentor_45a7f003|ideal_30|mentor_8f2d3563|mentor_56105218|mentor_ad1931f0
mentee_73d1c111,True,2,mentor_45a7f003|ideal_31|mentor_56105218|mentor_8f2d3563|mentor_9c70f935
mentee_b76fec02,True,1,ideal_32|mentor_a1c6e70c|mentor_3d789bfe|mentor_1ef38982|mentor_88cbe87c
mentee_fa7a9e37,True,2,mentor_cc33e267|ideal_33|mentor_b93ba98d|mentor_6ea7b2e6|mentor_8f05c4fb
mentee_f44678ca,False,not_found,mentor_bea545d3|mentor_831c2282|mentor_d69eb5f4|mentor_c651bc16|mentor_69b8e6d5
mentee_0cf8f7dd,True,5,mentor_e3aafe82|mentor_d539ab4f|mentor_39e6e908|mentor_dceb1a85|ideal_35
mentee_739cee44,True,3,mentor_98af95b1|mentor_cad81e83|ideal_36|mentor_ad54e43c|mentor_f1b6cb59
mentee_8cf38359,True,1,ideal_37|mentor_b671d7f6|mentor_deb7b68e|mentor_d7038196|mentor_148fff02
mentee_70ba465c,True,1,ideal_38|mentor_fbd61d88|mentor_322f6d04|mentor_13947eb3|mentor_7d036dff
mentee_af52ddfe,True,1,ideal_39|mentor_6243d498|mentor_5d7a5896|mentor_4c518774|mentor_9d320bf9
mentee_2154bc9c,True,3,mentor_bea545d3|mentor_c651bc16|ideal_40|mentor_56105218|mentor_45a7f003
mentee_0af318d0,True,4,mentor_11dbda52|mentor_d88f2e6c|mentor_b0647514|ideal_41|mentor_985d2e99
mentee_01c6f411,True,5,mentor_5e9ee3e2|mentor_457278e0|mentor_d9156405|mentor_4c444d29|ideal_42
mentee_4a5ffea3,True,4,mentor_cc33e267|mentor_6ea7b2e6|mentor_a34742e6|ideal_43|mentor_e3aafe82
mentee_ec8fc6c3,True,4,mentor_ea3ee7bd|mentor_bc98518f|mentor_4a130eba|ideal_44|mentor_1e846c00
mentee_54c0af47,True,1,ideal_45|mentor_b7f217f1|mentor_de3a15ec|mentor_6c95988c|mentor_363fb4a9
mentee_dcbc8a1e,True,2,mentor_ea3ee7bd|ideal_46|mentor_1e846c00|mentor_0f522631|mentor_bc98518f
mentee_42d231f3,True,1,ideal_47|mentor_5e9ee3e2|mentor_f1b6cb59|mentor_e13c245d|mentor_52e8e236
mentee_00c1cae6,True,1,ideal_48|mentor_322f6d04|mentor_ef4b4261|mentor_085cc4b3|mentor_c44e63fa
mentee_f031df79,True,5,mentor_831c2282|mentor_6c56c753|mentor_a669ea81|mentor_45a7f003|ideal_49
mentee_8d253915,True,4,mentor_e3aafe82|mentor_6243d498|mentor_79843184|ideal_50|mentor_dceb1a85
mentee_cbcbee1d,True,4,mentor_bea545d3|mentor_45a7f003|mentor_c651bc16|ideal_51|mentor_98a8c00e
mentee_199937de,True,3,mentor_b50ca85b|mentor_cc33e267|ideal_52|mentor_72037369|mentor_6ea7b2e6
mentee_8c1d19d7,True,5,mentor_e3aafe82|mentor_39e6e908|mentor_6243d498|mentor_dceb1a85|ideal_53
mentee_b0aff636,False,not_found,mentor_b671d7f6|mentor_320dae5f|mentor_75b6e3e8|mentor_4f6ed4ff|mentor_deb7b68e
mentee_168e1415,False,not_found,mentor_d88f2e6c|mentor_11dbda52|mentor_7863f0b7|mentor_99547005|mentor_ca53d2bb
mentee_bd150f88,True,2,mentor_f1d748a6|ideal_56|mentor_5e9ee3e2|mentor_959d1866|mentor_52e8e236
mentee_08d16709,True,1,ideal_57|mentor_5e9ee3e2|mentor_457278e0|mentor_f1b6cb59|mentor_4c444d29
mentee_0a33753f,True,2,mentor_9fb7dbf4|ideal_58|mentor_11dbda52|mentor_e62e0294|mentor_6aea9f28
mentee_1c4f7246,True,3,mentor_b50ca85b|mentor_6ea7b2e6|ideal_59|mentor_a49c021b|mentor_d8d7ae08
mentee_52704094,True,2,mentor_bea545d3|ideal_60|mentor_45a7f003|mentor_ad1931f0|mentor_8f2d3563
mentee_6ea60d6f,True,4,mentor_b50ca85b|mentor_cc33e267|mentor_6ea7b2e6|ideal_61|mentor_a49c021b
