mentee_id,priority_skills,priority_domain,priority_exp,priority_rating,w_skills,w_domain,w_exp,w_rating
mentee_2a36480e,3,2,3,2,0.28,0.22,0.28,0.22
mentee_b2753425,3,4,2,3,0.25,0.3,0.2,0.25
mentee_439d79c2,4,3,1,1,0.3667,0.3,0.1667,0.1667
mentee_961df732,4,5,5,1,0.26,0.3,0.3,0.14
mentee_4e0957d3,1,5,2,5,0.1462,0.3308,0.1923,0.3308
mentee_eb604282,3,2,3,1,0.3,0.2333,0.3,0.1667
mentee_d52bf3d1,2,3,3,2,0.22,0.28,0.28,0.22
mentee_a4a329e9,4,5,3,5,0.2412,0.2765,0.2059,0.2765
mentee_e3b74a40,5,1,5,3,0.3143,0.1429,0.3143,0.2286
mentee_08e4bff8,1,2,3,1,0.1857,0.2714,0.3571,0.1857
mentee_ff7a72b7,1,5,2,3,0.1545,0.3727,0.2091,0.2636
mentee_1881803f,3,5,2,3,0.2385,0.3308,0.1923,0.2385
mentee_a867cc1d,2,3,5,4,0.1857,0.2286,0.3143,0.2714
mentee_6cb2c7d8,3,1,1,4,0.3,0.1667,0.1667,0.3667
mentee_d0f4564e,3,1,1,3,0.325,0.175,0.175,0.325
mentee_a0538645,2,3,2,4,0.2091,0.2636,0.2091,0.3182
mentee_3ddf1a6c,5,4,5,1,0.3,0.26,0.3,0.14
mentee_baf07f05,1,1,2,5,0.1667,0.1667,0.2333,0.4333
mentee_56e0cbee,1,3,5,5,0.1429,0.2286,0.3143,0.3143
mentee_3d2b4edc,2,4,2,1,0.2333,0.3667,0.2333,0.1667
mentee_6eadd732,3,3,1,3,0.28,0.28,0.16,0.28
mentee_be3625c9,2,2,1,3,0.25,0.25,0.175,0.325
mentee_02bfb11a,5,4,5,2,0.2875,0.25,0.2875,0.175
mentee_f262dc15,2,2,2,4,0.22,0.22,0.22,0.34
mentee_cb8dd468,1,2,3,4,0.16,0.22,0.28,0.34
mentee_6261e3c3,2,3,2,1,0.25,0.325,0.25,0.175
mentee_f85a95b6,4,1,4,2,0.3182,0.1545,0.3182,0.2091
mentee_92571eea,2,4,3,3,0.2,0.3,0.25,0.25
mentee_0aa63fb5,2,2,1,2,0.2714,0.2714,0.1857,0.2714
mentee_8a2e9aa5,4,3,3,1,0.3182,0.2636,0.2636,0.1545
mentee_02012a6d,3,3,5,4,0.22,0.22,0.3,0.26
mentee_9cb6466b,5,3,1,1,0.4,0.28,0.16,0.16
mentee_bc65a1ba,3,2,5,3,0.2385,0.1923,0.3308,0.2385
mentee_fa12ead9,1,1,5,4,0.1545,0.1545,0.3727,0.3182
mentee_d27c2467,3,3,4,5,0.22,0.22,0.26,0.3
mentee_27213f3d,5,1,4,5,0.3,0.14,0.26,0.3
mentee_10f168da,2,3,1,4,0.22,0.28,0.16,0.34
mentee_684fa1d2,1,5,5,2,0.1462,0.3308,0.3308,0.1923
mentee_5fa7682e,3,4,1,3,0.2636,0.3182,0.1545,0.2636
mentee_214c0ce0,5,3,1,3,0.35,0.25,0.15,0.25
mentee_21a9acf3,5,3,4,3,0.3,0.22,0.26,0.22
mentee_bd150f88,4,3,5,2,0.2714,0.2286,0.3143,0.1857
mentee_68ba9f13,2,4,4,2,0.2,0.3,0.3,0.2
mentee_a84132ef,5,5,3,4,0.2765,0.2765,0.2059,0.2412
mentee_6d876c56,5,1,3,3,0.35,0.15,0.25,0.25
