mentee_id,mentor_id,rank,final_score,is_boosted,top_factor,profile_penalized,main_reason,matching_skills,learn_from_mentor,explain_skill,explain_domain,explain_exp,explain_rating
mentee_2a36480e,mentor_d539ab4f,1,0.7385,True,rating,True,Профиль неполный — навыки не указаны. Score снижен на 28%.,,airflow; docker; java,Навыки не указаны — штраф 28%.,Data Science → Data Science: смежные области (схожесть 0.60).,12 лет — видел многое.,Рейтинг 4.8/5.0 — один из лучших.
mentee_2a36480e,mentor_6243d498,2,0.7363,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 28%.,,docker; kafka; numpy,Навыки не указаны — штраф 28%.,Data Science → Data Science: смежные области (схожесть 0.61).,19 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_2a36480e,mentor_39e6e908,3,0.7069,True,exp,True,Профиль неполный — навыки не указаны. Score снижен на 28%.,,airflow; docker; kafka,Навыки не указаны — штраф 28%.,Data Science → Data Science: смежные области (схожесть 0.61).,13 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_2a36480e,mentor_113c1958,4,0.5975,False,exp,True,Профиль неполный — навыки не указаны. Score снижен на 28%.,,airflow; docker; kafka,Навыки не указаны — штраф 28%.,Data Science → Data Science: смежные области (схожесть 0.61).,17 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_2a36480e,mentor_874bdbd3,5,0.5913,False,exp,True,Профиль неполный — навыки не указаны. Score снижен на 28%.,,,Навыки не указаны — штраф 28%.,Data Science → Data Science: смежные области (схожесть 0.61).,19 лет — видел многое.,Рейтинг 3.9/5.0.
mentee_b2753425,mentor_6243d498,1,0.7545,True,domain,True,Профиль неполный — навыки не указаны. Score снижен на 25%.,,docker; kafka; numpy,Навыки не указаны — штраф 25%.,Data Science → Data Science: смежные области (схожесть 0.60).,19 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_b2753425,mentor_467dea2c,2,0.6553,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 25%.,,airflow; kafka; mlflow,Навыки не указаны — штраф 25%.,Data Science → Data Science: смежные области (схожесть 0.59).,12 лет — видел многое.,Рейтинг 5.0/5.0 — один из лучших.
mentee_b2753425,mentor_9d15fed7,3,0.6353,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 25%.,,airflow; docker; kafka,Навыки не указаны — штраф 25%.,Data Science → Data Science: смежные области (схожесть 0.60).,17 лет — видел многое.,Рейтинг 4.3/5.0.
mentee_b2753425,mentor_79843184,4,0.624,True,domain,True,Профиль неполный — навыки не указаны. Score снижен на 25%.,,airflow; docker; pandas,Навыки не указаны — штраф 25%.,Data Science → Data Science: смежные области (схожесть 0.60).,12 лет — видел многое.,Рейтинг 3.7/5.0.
mentee_b2753425,mentor_113c1958,5,0.6099,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 25%.,,airflow; docker; kafka,Навыки не указаны — штраф 25%.,Data Science → Data Science: смежные области (схожесть 0.60).,17 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_439d79c2,mentor_deb7b68e,1,1.0134,True,skill,False,"Совпадают навыки: blender, c#, opengl.",blender; c#; opengl,c++; game design; python,"Совпадают 3: blender, c#, opengl. Можно научиться: c++, game design, python.",Game Development → Game Development: смежные области (схожесть 0.69).,16 лет — видел многое.,Рейтинг 4.4/5.0.
mentee_439d79c2,mentor_148fff02,2,0.9994,True,skill,False,"Совпадают навыки: blender, c#, opengl.",blender; c#; opengl; physics simulation,game design; git; lua,"Совпадают 4: blender, c#, opengl, physics simulation. Можно научиться: game design, git, lua.",Game Development → Game Development: смежные области (схожесть 0.68).,9 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_439d79c2,mentor_75b6e3e8,3,0.9822,False,skill,False,"Совпадают навыки: blender, c#, opengl.",blender; c#; opengl; physics simulation,c++; game design; git,"Совпадают 4: blender, c#, opengl, physics simulation. Можно научиться: c++, game design, git.",Game Development → Game Development: смежные области (схожесть 0.68).,18 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_439d79c2,mentor_783645cd,4,0.9447,True,skill,False,"Совпадают навыки: c#, opengl, physics simulation.",c#; opengl; physics simulation,c++; git; lua,"Совпадают 3: c#, opengl, physics simulation. Можно научиться: c++, git, lua.",Game Development → Game Development: смежные области (схожесть 0.69).,10 лет — видел многое.,Рейтинг 3.9/5.0.
mentee_439d79c2,mentor_9f49a7c6,5,0.9354,False,skill,False,"Совпадают навыки: blender, c#, opengl.",blender; c#; opengl; physics simulation,c++; game design; git,"Совпадают 4: blender, c#, opengl, physics simulation. Можно научиться: c++, game design, git.",Game Development → Game Development: смежные области (схожесть 0.68).,10 лет — видел многое.,Рейтинг 4.7/5.0 — один из лучших.
mentee_961df732,mentor_9376b8e5,1,1.0565,True,domain,False,Оба из Mobile.,firebase; git; kotlin; objective-c,android studio; flutter; java,"Совпадают 4: firebase, git, kotlin, objective-c. Можно научиться: android studio, flutter, java.",Mobile → Mobile: смежные области (схожесть 0.69).,11 лет — видел многое.,Рейтинг 4.3/5.0.
mentee_961df732,mentor_69ef6a32,2,0.9067,False,domain,False,Оба из Mobile.,firebase; git; kotlin; xcode,android studio; flutter; java,"Совпадают 4: firebase, git, kotlin, xcode. Можно научиться: android studio, flutter, java.",Mobile → Mobile: смежные области (схожесть 0.70).,20 лет — видел многое.,Рейтинг 3.4/5.0.
mentee_961df732,mentor_25418c75,3,0.8794,False,domain,False,Оба из Mobile.,firebase; git; kotlin; objective-c,java; react native; rest api,"Совпадают 4: firebase, git, kotlin, objective-c. Можно научиться: java, react native, rest api.",Mobile → Mobile: смежные области (схожесть 0.69).,12 лет — видел многое.,Рейтинг 4.1/5.0.
mentee_961df732,mentor_02659c85,4,0.8705,True,domain,False,Оба из Mobile.,firebase; git; kotlin; objective-c; xcode,android studio; flutter; java,"Совпадают 5: firebase, git, kotlin, objective-c. Можно научиться: android studio, flutter, java.",Mobile → Mobile: очень близкие области (схожесть 0.70).,6 лет — хорошая база.,Рейтинг 3.5/5.0.
mentee_961df732,mentor_bea5d5a1,5,0.8631,False,domain,False,Оба из Mobile.,firebase; kotlin; objective-c,android studio; flutter; nft,"Совпадают 3: firebase, kotlin, objective-c. Можно научиться: android studio, flutter, nft.",Mobile → Mobile: смежные области (схожесть 0.69).,14 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_4e0957d3,mentor_f061e9b1,1,0.9679,True,rating,False,Высокий рейтинг: 4.6/5.0.,java; kafka; mongodb; redis; sql,docker; kubernetes; microservices,"Совпадают 5: java, kafka, mongodb, redis. Можно научиться: docker, kubernetes, microservices.",Backend → Backend: смежные области (схожесть 0.53).,8 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_4e0957d3,mentor_13adc44c,2,0.8784,False,rating,False,Высокий рейтинг: 5.0/5.0.,java; kafka; mongodb; redis; sql,docker; go; grpc,"Совпадают 5: java, kafka, mongodb, redis. Можно научиться: docker, go, grpc.",Backend → Backend: смежные области (схожесть 0.53).,13 лет — видел многое.,Рейтинг 5.0/5.0 — один из лучших.
mentee_4e0957d3,mentor_bb039843,3,0.8113,False,rating,False,Высокий рейтинг: 4.5/5.0.,java; kafka; mongodb; sql,cryptography; docker; grpc,"Совпадают 4: java, kafka, mongodb, sql. Можно научиться: cryptography, docker, grpc.",Backend → Backend: смежные области (схожесть 0.52).,11 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_4e0957d3,mentor_d09d90d5,4,0.745,False,rating,False,Высокий рейтинг: 4.6/5.0.,kafka; mongodb; sql,docker; go; kubernetes,"Совпадают 3: kafka, mongodb, sql. Можно научиться: docker, go, kubernetes.",Backend → Backend: смежные области (схожесть 0.52).,5 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_4e0957d3,mentor_06b00543,5,0.7444,False,rating,False,Высокий рейтинг: 4.3/5.0.,java; kafka; mongodb; redis; sql,docker; go; kubernetes,"Совпадают 5: java, kafka, mongodb, redis. Можно научиться: docker, go, kubernetes.",Backend → Backend: смежные области (схожесть 0.53).,7 лет — хорошая база.,Рейтинг 4.3/5.0.
mentee_eb604282,mentor_f061e9b1,1,0.9272,True,skill,False,"Совпадают навыки: docker, node.js, redis.",docker; node.js; redis; sql,java; kafka; kubernetes,"Совпадают 4: docker, node.js, redis, sql. Можно научиться: java, kafka, kubernetes.",Backend → Backend: смежные области (схожесть 0.53).,8 лет — хорошая база.,Рейтинг 4.6/5.0 — один из лучших.
mentee_eb604282,mentor_13adc44c,2,0.8774,False,skill,False,"Совпадают навыки: docker, node.js, postgresql.",docker; node.js; postgresql; python; redis; rest api; sql,go; grpc; java,"Совпадают 7: docker, node.js, postgresql, python. Можно научиться: go, grpc, java.",Backend → Backend: смежные области (схожесть 0.52).,13 лет — видел многое.,Рейтинг 5.0/5.0 — один из лучших.
mentee_eb604282,mentor_7b23c9f3,3,0.8292,False,skill,False,"Совпадают навыки: docker, node.js, postgresql.",docker; node.js; postgresql; python; redis; rest api; sql,go; grpc; java,"Совпадают 7: docker, node.js, postgresql, python. Можно научиться: go, grpc, java.",Backend → Backend: смежные области (схожесть 0.52).,19 лет — видел многое.,Рейтинг 3.5/5.0.
mentee_eb604282,mentor_2c29357e,4,0.8284,False,skill,False,"Совпадают навыки: docker, postgresql, python.",docker; postgresql; python; redis; rest api,go; grpc; kafka,"Совпадают 5: docker, postgresql, python, redis. Можно научиться: go, grpc, kafka.",Backend → Backend: смежные области (схожесть 0.52).,19 лет — видел многое.,Рейтинг 3.5/5.0.
mentee_eb604282,mentor_29f33a59,5,0.8186,False,skill,False,"Совпадают навыки: docker, node.js, postgresql.",docker; node.js; postgresql; python; redis; rest api; sql,go; grpc; java,"Совпадают 7: docker, node.js, postgresql, python. Можно научиться: go, grpc, java.",Backend → Backend: смежные области (схожесть 0.52).,15 лет — видел многое.,Рейтинг 3.8/5.0.
mentee_d52bf3d1,mentor_457278e0,1,0.7627,True,domain,True,Профиль неполный — навыки не указаны. Score снижен на 22%.,,defi; ethereum; ethers.js,Навыки не указаны — штраф 22%.,Blockchain → Blockchain: очень близкие области (схожесть 0.70).,17 лет — видел многое.,Рейтинг 4.5/5.0 — один из лучших.
mentee_d52bf3d1,mentor_d9156405,2,0.7409,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 22%.,,defi; ethereum; ethers.js,Навыки не указаны — штраф 22%.,Blockchain → Blockchain: очень близкие области (схожесть 0.71).,15 лет — видел многое.,Рейтинг 4.8/5.0 — один из лучших.
mentee_d52bf3d1,mentor_4c444d29,3,0.7316,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 22%.,,ethereum; ethers.js; hardhat,Навыки не указаны — штраф 22%.,Blockchain → Blockchain: очень близкие области (схожесть 0.71).,14 лет — видел многое.,Рейтинг 4.8/5.0 — один из лучших.
mentee_d52bf3d1,mentor_d497a435,4,0.7132,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 22%.,,,Навыки не указаны — штраф 22%.,Blockchain → Blockchain: очень близкие области (схожесть 0.71).,18 лет — видел многое.,Рейтинг 4.3/5.0.
mentee_d52bf3d1,mentor_52e8e236,5,0.7007,False,domain,True,Профиль неполный — навыки не указаны. Score снижен на 22%.,,defi; ethereum; ethers.js,Навыки не указаны — штраф 22%.,Blockchain → Blockchain: очень близкие области (схожесть 0.71).,13 лет — видел многое.,Рейтинг 4.6/5.0 — один из лучших.
mentee_a4a329e9,mentor_cc33e267,1,0.7943,True,rating,True,Профиль неполный — навыки не указаны. Score снижен на 24%.,,a/b testing; amplitude; excel,Навыки не указаны — штраф 24%.,Product Analytics → Product Analytics: смежные области (схожесть 0.66).,19 лет — видел многое.,Рейтинг 4.9/5.0 — один из лучших.
mentee_a4a329e9,mentor_89415c0e,2,0.7239,True,domain,True,Профиль неполный — навыки не указаны. Score снижен на 24%.,,,Навыки не указаны — штраф 24%.,Product Analytics → Product Analytics: смежные области (схожесть 0.66).,19 лет — видел многое.,Рейтинг 4.3/5.0.
