index,skill
0,a/b testing
1,airflow
2,allure
3,amplitude
4,android studio
5,angular
6,ansible
7,api testing
8,appium
9,aws
10,azure
11,bash
12,blender
13,burp suite
14,c#
15,c++
16,cryptography
17,css
18,cypress
19,defi
20,docker
21,ethereum
22,ethers.js
23,excel
24,figma
25,firebase
26,flutter
27,game design
28,gcp
29,git
30,github actions
31,go
32,google analytics
33,grafana
34,graphql
35,grpc
36,hardhat
37,helm
38,html
39,java
40,javascript
41,jenkins
42,jira
43,jmeter
44,kafka
45,kotlin
46,kubernetes
47,linux
48,looker
49,lua
50,metasploit
51,microservices
52,mixpanel
53,mlflow
54,mongodb
55,network security
56,next.js
57,nft
58,nmap
59,node.js
60,numpy
61,objective-c
62,opengl
63,owasp
64,pandas
65,penetration testing
66,physics simulation
67,postgresql
68,postman
69,power bi
70,prometheus
71,pytest
72,python
73,pytorch
74,r
75,react
76,react native
77,redis
78,rest api
79,rust
80,scikit-learn
81,selenium
82,siem
83,smart contracts
84,solidity
85,spark
86,sql
87,statistics
88,swift
89,tableau
90,tailwind
91,tensorflow
92,terraform
93,test planning
94,truffle
95,typescript
96,ui/ux
97,unity
98,unreal engine
99,vite
100,vue
101,web3.js
102,webpack
103,wireshark
104,xcode
