mentor_id,rating,n_reviews
mentor_0e59e697,3.0,36
mentor_936d7c44,2.9,37
mentor_b5d772e9,3.3,23
mentor_2b0f97f6,4.9,25
mentor_deab40c7,3.9,20
mentor_fb660425,3.6,21
mentor_13adc44c,5.0,41
mentor_c808b1d5,3.8,58
mentor_039f8231,3.2,35
mentor_ba7bc49e,3.5,25
mentor_7ae45aa0,3.4,2
mentor_b7d4514a,3.3,21
mentor_503f57f3,4.2,12
mentor_f96942c9,4.8,23
mentor_f7bdfb66,3.9,20
mentor_ccb61416,4.4,17
mentor_d66d90bc,3.4,35
mentor_3f55fe53,3.3,17
mentor_d539ab4f,4.8,28
mentor_f0c0ffdf,3.9,15
mentor_e78ce72e,4.3,47
mentor_6c95988c,3.7,7
mentor_72a12638,3.5,20
mentor_51cbcde3,3.2,39
mentor_29ef82e3,3.6,22
mentor_ea98b4b2,4.6,34
mentor_9d9d4fae,2.9,28
mentor_b47ad6ac,3.0,35
mentor_5a31b4e1,4.5,2
mentor_f0326589,3.0,9
mentor_4a1ee60f,1.7,40
mentor_085cc4b3,4.1,13
mentor_9163ff57,3.8,15
mentor_e6d22ba3,4.0,17
mentor_d26e72e7,3.3,22
mentor_6c56c753,4.8,6
mentor_3849f98b,3.8,8
mentor_d6833a52,3.4,12
mentor_dd6f22dc,3.1,24
mentor_cad81e83,4.6,23
mentor_ed6c3567,4.2,28
mentor_603eaf76,3.5,34
mentor_812d5dbf,3.6,18
mentor_fb27c6d5,2.7,15
mentor_b51e4dfc,3.4,39
mentor_9ee51997,4.2,46
mentor_9750c5ad,4.2,15
mentor_b5a4ff15,4.0,23
mentor_b8bbd677,3.3,26
mentor_63bdea56,2.0,32
mentor_0b08b179,3.6,9
mentor_bf24227d,4.1,2
mentor_fca57864,4.2,24
mentor_5c79d322,3.1,18
mentor_e1930481,3.0,29
mentor_00977aa3,3.7,31
mentor_ac066c18,4.1,27
mentor_72f6b855,3.8,29
mentor_e291204f,3.7,2
mentor_a33c1349,4.2,41
mentor_ff1150b5,3.1,15
mentor_424ee53b,3.8,29
mentor_6243d498,4.7,9
mentor_6119238e,4.4,14
mentor_89af1f2e,3.6,7
mentor_736bfe55,3.3,24
mentor_0c520a46,3.5,9
mentor_c81b5318,2.8,13
mentor_e2a907f4,4.6,4
mentor_888204c8,3.3,3
mentor_9f49a7c6,4.7,19
mentor_d7bd8a25,4.6,22
mentor_0bcc7a68,3.7,7
mentor_3664ddff,3.9,40
mentor_3baf3f39,3.8,36
mentor_a9e8aac2,3.7,21
mentor_de8cf19e,3.9,12
mentor_efad3b2a,3.7,4
