domain,Backend,Blockchain,Cybersecurity,Data Science,DevOps,Frontend,Game Development,Mobile,Product Analytics,QA
Backend,1.0,0.0915,0.0913,0.299,0.1562,0.0114,0.0911,0.1617,0.1786,0.1654
Blockchain,0.0915,1.0,0.0995,0.0905,0.0097,0.0973,0.0959,0.0125,0.1013,0.0921
Cybersecurity,0.0913,0.0995,1.0,0.0922,0.093,0.0096,0.0978,0.0108,0.1057,0.0933
Data Science,0.299,0.0905,0.0922,1.0,0.0835,0.0144,0.0932,0.0136,0.2495,0.1578
DevOps,0.1562,0.0097,0.093,0.0835,1.0,0.0126,0.0144,0.0122,0.0124,0.011
Frontend,0.0114,0.0973,0.0096,0.0144,0.0126,1.0,0.0111,0.0071,0.0143,0.0147
Game Development,0.0911,0.0959,0.0978,0.0932,0.0144,0.0111,1.0,0.0964,0.1039,0.1786
Mobile,0.1617,0.0125,0.0108,0.0136,0.0122,0.0071,0.0964,1.0,0.0106,0.0894
Product Analytics,0.1786,0.1013,0.1057,0.2495,0.0124,0.0143,0.1039,0.0106,1.0,0.1798
QA,0.1654,0.0921,0.0933,0.1578,0.011,0.0147,0.1786,0.0894,0.1798,1.0
